age,sex,income,employment_duration_years,loan_amount,purpose,existing_debt,credit_history_years,credit_limit,credit_used,late_payments_last_2y,num_open_accounts,checking_balance,savings_balance,target
67,female,50484.91,0.03,7469.64,business,8230.5,5.87,14494.52,11322.79,1,5,-657.41,9798.89,1
72,female,26280.29,2.08,7003.17,car,7282.22,2.92,11654.9,3008.47,1,4,2008.07,9209.03,0
51,male,58508.12,11.77,22601.17,other,3570.83,3.96,16684.59,8902.83,2,6,6312.86,0.0,0
43,male,61930.16,5.06,14642.32,business,5269.32,18.67,16458.81,11416.7,0,8,2451.18,16648.32,0
60,female,9881.37,1.03,10306.13,electronics,890.19,3.17,1398.08,819.63,1,11,-1237.4,15813.33,1
27,male,21560.77,3.67,15989.76,business,3891.14,6.18,5282.32,3222.42,1,9,8533.54,8805.79,1
34,female,47301.13,2.16,500.0,electronics,9712.13,7.3,12242.45,4290.41,2,3,7287.34,4232.18,0
49,female,39307.63,2.72,11654.93,car,7419.55,13.18,6770.7,2422.29,2,11,3503.53,4335.32,0
29,female,44697.58,4.32,27980.11,car,6803.78,3.75,14979.47,4654.74,2,6,5827.27,2057.41,1
46,female,29645.21,0.75,13058.77,furniture,4845.85,4.9,4670.21,2013.99,0,6,1199.06,2833.69,1
66,female,60829.16,5.81,12543.31,business,9312.48,6.02,11525.66,5182.18,1,1,4173.36,0.0,0
62,male,59000.25,14.26,16385.03,education,10332.53,1.41,19141.85,11185.51,1,8,729.38,13181.58,1
68,female,46188.55,0.1,19164.84,furniture,4786.01,12.92,9588.44,1542.27,1,10,-2066.25,11064.72,1
67,male,65290.34,4.76,500.0,business,23231.15,2.79,23234.7,2141.16,0,4,9775.77,0.0,1
36,female,53415.17,4.02,500.0,electronics,12028.96,0.22,20095.07,10967.2,1,10,-2219.61,9339.93,0
58,male,29532.74,0.38,13682.33,furniture,3879.54,1.66,6512.45,1324.7,1,1,2892.67,3953.71,1
39,male,51637.51,3.45,6280.99,business,8596.77,4.53,6968.74,4777.59,0,11,2857.63,2805.72,1
73,female,27740.11,1.54,22496.2,education,3789.62,3.56,8204.99,1944.75,1,3,3548.02,6957.05,1
28,female,60812.11,7.06,9478.6,business,4902.28,6.23,8340.95,2682.31,1,6,1730.95,0.0,0
33,male,44101.33,6.05,500.0,education,12836.49,3.19,13499.17,5219.13,2,1,1762.25,3932.5,0
71,male,41672.48,15.08,1855.89,car,934.84,5.56,16272.57,1613.59,0,10,2415.24,4476.89,0
31,female,32743.27,3.36,500.0,car,2812.42,11.68,11398.98,4132.16,1,6,3439.61,4482.69,0
53,male,67005.74,0.21,10127.0,car,19558.27,1.22,18715.18,12666.43,0,11,1994.55,0.0,0
34,female,42218.47,0.19,10492.93,furniture,12446.22,10.5,20194.93,2170.17,0,5,1794.92,6681.5,0
34,female,37290.1,0.38,8604.3,furniture,5457.13,3.49,5246.68,1247.04,1,1,-1963.33,10358.89,0
56,female,38661.6,1.87,20631.03,other,3155.2,20.46,17475.06,4759.85,0,8,8041.05,6443.99,0
63,female,54581.57,7.73,21588.16,medical,4203.15,4.97,22927.07,4275.59,1,2,3607.1,2624.87,1
31,male,51577.99,2.11,10636.89,other,7988.81,0.89,13817.51,2632.7,0,7,2626.72,20134.24,1
74,female,52429.19,0.24,500.0,education,2993.69,10.68,8448.8,2163.61,1,1,126.6,0.0,0
23,male,52754.78,7.97,16938.25,electronics,9762.49,5.79,8564.56,5558.58,0,2,-1010.84,8640.71,1
23,male,83549.66,8.57,16442.88,electronics,18824.84,9.77,39161.59,8256.12,0,8,4579.96,5459.64,1
73,female,37684.53,0.34,14475.13,other,5512.45,0.65,7291.27,1429.17,0,8,1520.41,16073.88,1
21,male,35779.63,3.16,19851.84,electronics,6600.32,0.44,16088.18,4017.72,0,2,3863.19,6320.5,0
35,female,30352.09,1.81,2681.38,business,7182.38,0.84,9145.63,7337.19,1,3,-2056.45,7606.93,1
